symbol,asset_type,qty,avg_price,price_source,source_id
NIFTYBEES,ETF,45,270.58,yfinance,NIFTYBEES.NS
GOLDBEES,ETF,115,129.49,yfinance,GOLDBEES.NS
INFY,Stock,10,1136.80,yfinance,INFY.NS
TCS,Stock,3,2281.40,yfinance,TCS.NS
SUNPHARMA,Stock,5,1887.80,yfinance,SUNPHARMA.NS
DRREDDY,Stock,3,1335.00,yfinance,DRREDDY.NS
HDFCBANK,Stock,6,762.45,yfinance,HDFCBANK.NS
ICICIBANK,Stock,5,1274.56,yfinance,ICICIBANK.NS
MON100,Fund,358.9516,69.68,yfinance,MON100.NS
TATAARB,Arbitrage,1,18925,manual,
PPFASLIQ,Liquid,1,10000,manual,
