symbol,asset_type,qty,avg_price,current_price,invested_value,current_value,pnl,pnl_pct,price_source,source_id
NIFTYBEES,ETF,45,270.58,276.94,12176.10,12462.30,286.20,2.35,yfinance,NIFTYBEES.NS
GOLDBEES,ETF,115,129.49,132.78,14891.35,15269.70,378.35,2.54,yfinance,GOLDBEES.NS
INFY,Stock,10,1136.80,1144.00,11368.00,11440.00,72.00,0.63,yfinance,INFY.NS
TCS,Stock,3,2281.40,2296.20,6844.20,6888.60,44.40,0.65,yfinance,TCS.NS
SUNPHARMA,Stock,5,1887.80,1922.00,9439.00,9610.00,171.00,1.81,yfinance,SUNPHARMA.NS
DRREDDY,Stock,3,1335.00,1193.50,4005.00,3580.50,-424.50,-10.60,yfinance,DRREDDY.NS
HDFCBANK,Stock,6,762.45,727.50,4574.70,4365.00,-209.70,-4.58,yfinance,HDFCBANK.NS
ICICIBANK,Stock,5,1274.56,1422.70,6372.80,7113.50,740.70,11.62,yfinance,ICICIBANK.NS
MON100,ETF,76.8285,325.40,329.05,24999.99,25280.42,280.42,1.12,yfinance,MON100.NS
TATAARB,Arbitrage,1,18925.00,18925.00,18925.00,18925.00,0.00,0.00,manual,
PPFASLIQ,Liquid,1,10000.00,10000.00,10000.00,10000.00,0.00,0.00,manual,
